training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
21;6;48;148;24;51368;-24;-24
21;7;75;150;31;49980;-31;-31
21;8;61;154;29;49708;-29;-29
21;9;77;143;29;50712;-29;-29
21;10;89;187;38;43800;-38;-38
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
22;1;90;144;30;49396;-30;-30
22;2;101;135;29;50352;-29;-29
22;3;85;135;27;50924;-27;-27
22;4;75;122;28;51432;-28;-28
22;5;109;169;38;45160;-38;-38
22;6;71;131;26;51568;-26;-26
22;7;96;117;29;39740;-29;-29
22;8;104;138;30;43852;-30;-30
22;9;87;156;31;48732;-31;-31
22;10;96;170;33;43132;-33;-33
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
23;1;46;124;25;52100;-25;-25
23;2;37;145;28;50512;-28;-28
23;3;26;128;29;51136;-29;-29
23;4;29;132;27;51408;-27;-27
23;5;54;185;36;44200;-36;-36
23;6;39;135;25;51512;-25;-25
23;7;38;139;29;50580;-29;-29
23;8;34;160;32;38756;-32;-32
23;9;34;117;23;52792;-23;-23
23;10;33;150;30;49240;-30;-30
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
24;1;77;159;31;48208;-31;-31
24;2;75;174;32;47704;-32;-32
24;3;69;148;28;49784;-28;-28
24;4;77;128;26;51556;-26;-26
24;5;92;163;34;44388;-34;-34
24;6;58;103;20;54376;-20;-20
24;7;68;164;30;48376;-30;-30
24;8;76;161;32;47980;-32;-32
24;9;46;107;21;53864;-21;-21
24;10;84;167;34;46924;-34;-34
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
25;1;54;179;31;47460;-31;-31
25;2;54;138;27;50604;-27;-27
25;3;63;159;29;49144;-29;-29
25;4;41;139;27;42876;-27;-27
25;5;56;184;35;45684;-35;-35
25;6;40;108;20;54152;-20;-20
25;7;48;157;30;48960;-30;-30
25;8;51;158;30;48504;-30;-30
25;9;43;131;25;51436;-25;-25
25;10;66;191;36;37724;-36;-36
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
26;1;76;161;30;46924;-30;-30
26;2;66;141;27;50268;-27;-27
26;3;82;171;33;47448;-33;-33
26;4;69;155;28;49332;-28;-28
26;5;85;179;35;42288;-35;-35
26;6;66;74;21;56288;-21;-21
26;7;81;143;32;49252;-32;-32
26;8;80;179;35;46004;-35;-35
26;9;70;134;24;51428;-24;-24
26;10;94;176;33;46652;-33;-33
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
27;1;77;136;27;51344;-27;-27
27;2;81;141;28;51148;-28;-28
27;3;84;146;27;50428;-27;-27
27;4;84;147;30;50384;-30;-30
27;5;82;157;34;48248;-34;-34
27;6;63;115;23;53524;-23;-23
27;7;89;160;31;48772;-31;-31
27;8;70;124;25;42024;-25;-25
27;9;68;122;25;51312;-25;-25
27;10;88;162;35;47620;-35;-35
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
28;1;54;164;33;47704;-33;-33
28;2;49;137;28;50648;-28;-28
28;3;71;166;33;47688;-33;-33
28;4;58;128;28;51132;-28;-28
28;5;67;164;33;47604;-33;-33
28;6;44;112;23;53348;-23;-23
28;7;69;144;30;49184;-30;-30
28;8;63;144;31;49456;-31;-31
28;9;50;120;25;52608;-25;-25
28;10;57;149;31;49112;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
29;1;85;170;31;48216;-31;-31
29;2;62;136;25;51528;-25;-25
29;3;82;171;30;48264;-30;-30
29;4;58;134;24;51648;-24;-24
29;5;89;212;35;38640;-35;-35
29;6;76;117;24;52916;-24;-24
29;7;74;170;31;48152;-31;-31
29;8;95;219;36;44468;-36;-36
29;9;76;133;24;51548;-24;-24
29;10;76;192;31;46708;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
30;1;59;192;34;46208;-34;-34
30;2;41;163;27;49404;-27;-27
30;3;41;140;27;50808;-27;-27
30;4;41;132;27;44660;-27;-27
30;5;64;198;33;45912;-33;-33
30;6;33;101;20;54712;-20;-20
30;7;57;163;28;49344;-28;-28
30;8;40;124;26;41596;-26;-26
30;9;35;125;24;52012;-24;-24
30;10;69;192;34;46080;-34;-34
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
31;1;56;157;34;48048;-34;-34
31;2;28;128;27;51452;-27;-27
31;3;42;140;32;49436;-32;-32
31;4;52;134;32;49872;-32;-32
31;5;51;147;36;43752;-36;-36
31;6;30;106;23;53760;-23;-23
31;7;48;132;35;49596;-35;-35
31;8;44;143;35;42432;-35;-35
