training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
29;2;194;182;34;4456;8;-8
29;3;192;174;39;8724;3;-3
29;4;192;157;37;3644;-5;5
29;5;216;189;41;11368;-1;1
29;6;208;195;41;17944;-1;1
29;7;179;165;37;11308;-5;5
29;8;199;203;40;11892;2;-2
29;9;165;174;38;12396;-4;4
29;10;177;169;34;6284;8;-8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
30;1;161;160;35;10664;-7;7
30;2;126;112;27;1696;-15;15
30;3;139;168;36;6116;-6;6
30;4;173;170;35;3568;-7;7
30;5;160;175;36;6932;-6;6
30;6;148;134;28;5012;-14;14
30;7;169;175;35;6932;7;-7
30;8;135;157;32;3944;-10;10
30;9;162;148;36;5132;-6;6
30;10;161;149;34;4584;-8;8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
31;1;186;195;38;7060;-4;4
31;2;211;193;37;2520;-5;5
31;3;228;243;40;4088;-2;2
31;4;182;202;33;4000;9;-9
31;5;209;233;41;4668;1;-1
31;6;170;194;36;4036;-6;6
31;7;211;220;37;4856;-5;5
31;8;211;229;38;5344;-4;4
31;9;222;233;40;5140;-2;2
31;10;228;202;40;4848;-2;2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
32;1;181;198;36;3408;6;-6
32;2;206;227;38;6932;4;-4
32;3;197;188;37;5144;5;-5
32;4;194;166;31;4224;11;-11
32;5;203;198;36;9356;6;-6
32;6;203;186;33;9648;-9;9
32;7;208;244;41;12780;1;-1
32;8;202;171;36;9832;6;-6
32;9;180;193;36;14768;6;-6
32;10;191;201;33;7932;9;-9
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
33;1;196;174;39;9976;-3;3
33;2;180;187;32;7748;10;-10
33;3;146;154;29;12160;-13;13
33;4;170;160;34;17628;-8;8
33;5;179;173;34;10528;-8;8
33;6;200;187;35;24216;-7;7
33;7;202;196;41;16692;-1;1
33;8;191;203;40;18928;-2;2
33;9;192;199;41;13808;-1;1
33;10;217;191;40;11748;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
34;1;267;264;39;2448;-3;3
34;2;140;152;31;1932;-11;11
34;3;239;247;40;2568;-2;2
34;4;232;239;39;2464;3;-3
34;5;197;196;35;3920;-7;7
34;6;241;276;40;2560;-2;2
34;7;262;254;41;3672;-1;1
34;8;198;214;37;2520;-5;5
34;9;197;219;39;2492;3;-3
34;10;214;243;38;2496;-4;4
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
35;1;233;251;41;18332;-1;1
35;2;194;231;38;15456;-4;4
35;3;207;197;34;11824;-8;8
35;4;238;279;41;14072;-1;1
35;5;198;193;35;15236;-7;7
35;6;177;201;32;22960;-10;10
35;7;241;268;38;15292;4;-4
35;8;197;204;35;18448;7;-7
35;9;206;222;34;17168;8;-8
35;10;173;184;31;8828;-11;11
