training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
22;10;102;108;28;3676;3,5;-17,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
23;1;101;116;36;22972;-4,5;-13,5
23;2;120;145;35;37296;-3,5;-14
23;3;114;144;38;41164;-12,5;-6,5
23;4;99;149;31;26424;0,5;-16
23;5;79;101;28;19112;3,5;-17,5
23;6;116;146;37;41600;-13;-5,5
23;7;132;161;40;24196;-8,5;-11,5
23;8;100;146;35;27080;-3,5;-14
23;9;111;155;38;36792;-6,5;-12,5
23;10;101;145;38;23448;-6,5;-12,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
24;1;178;135;40;3816;-8,5;-11,5
24;2;192;149;41;7848;-9,5;-11
24;3;135;112;35;2960;-3,5;-14
24;4;130;103;36;4044;-4,5;-13,5
24;5;170;144;36;2380;-13,5;-4,5
24;6;144;129;33;3184;-15;-1,5
24;7;173;159;39;5024;-7,5;-12
24;8;132;117;29;8680;2,5;-17
24;9;174;141;41;6408;-9,5;-11
24;10;177;141;41;6704;-9,5;-11
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
25;1;142;174;41;34428;-11;-9,5
25;2;96;120;30;23132;-16,5;1,5
25;3;111;143;32;25908;-0,5;-15,5
25;4;140;173;41;20876;-11;-9,5
25;5;127;141;36;21588;-13,5;-4,5
25;6;140;152;39;49128;-12;-7,5
25;7;144;162;37;27020;-5,5;-13
25;8;151;156;40;25908;-11,5;-8,5
25;9;136;157;36;44212;-13,5;-4,5
25;10;124;139;34;27796;-14,5;-2,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
26;1;106;122;22;52040;5;-22,5
26;2;107;126;19;52472;3,5;-18,5
26;3;110;124;17;52028;2,5;-18,5
26;4;141;148;23;49384;5,5;-24
26;5;129;162;39;44328;-7,5;-12
26;6;110;119;21;53300;4,5;-18,5
26;7;110;135;33;39984;-1,5;-15
26;8;132;138;24;50956;6;-24,5
26;9;127;122;20;51668;4;-19,5
26;10;118;124;30;37500;1,5;-16,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
27;1;129;193;39;39040;-7,5;-12
27;2;134;164;17;48952;2,5;-19
27;3;124;163;35;41484;-14;-3,5
27;4;124;179;35;47392;-3,5;-14
27;5;107;145;31;35088;0,5;-16
27;6;105;129;20;51500;4;-19
27;7;134;173;23;47320;5,5;-24,5
27;8;116;165;22;48720;5;-22
27;9;106;133;20;51320;4;-20
27;10;115;149;34;41152;-2,5;-14,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
28;1;125;141;38;26000;-6,5;-12,5
28;2;116;148;35;30332;-14;-3,5
28;3;114;150;35;17608;-3,5;-14
28;4;113;115;32;23808;-15,5;-0,5
28;5;101;133;28;16668;3,5;-17,5
28;6;92;132;30;24780;1,5;-16,5
28;7;125;160;32;27756;-15,5;-0,5
28;8;123;183;39;25568;-7,5;-12
28;9;135;160;35;18640;-3,5;-14
28;10;137;173;38;21960;-6,5;-12,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
29;1;159;182;24;47028;6;-25,5
29;2;112;145;33;47352;-15;-1,5
29;3;149;167;38;45492;-12,5;-6,5
29;4;125;131;17;52284;2,5;-17,5
29;5;150;168;38;47148;-12,5;-6,5
29;6;112;121;17;52964;2,5;-15
29;7;133;146;35;41192;-14;-3,5
29;8;165;175;39;40396;-7,5;-12
29;9;114;139;16;51644;2;-17,5
29;10;100;151;23;50840;5,5;-23
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
30;1;184;141;40;3032;-8,5;-11,5
30;2;156;137;37;3708;-5,5;-13
30;3;182;160;38;3752;-12,5;-6,5
30;4;182;177;39;2516;-7,5;-12
30;5;197;157;41;3236;-11;-9,5
30;6;157;156;35;2628;-3,5;-14
30;7;184;167;36;3632;-4,5;-13,5
30;8;163;141;34;2280;-2,5;-14,5
30;9;172;138;36;3432;-4,5;-13,5
30;10;170;156;41;3308;-9,5;-11
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
31;1;211;192;40;8800;-8,5;-11,5
31;2;168;168;34;7132;-2,5;-14,5
31;3;218;198;41;7580;-9,5;-11
31;4;179;179;41;12100;-11;-9,5
31;5;185;168;39;7628;-7,5;-12
31;6;164;151;34;9836;-2,5;-14,5
31;7;149;153;31;4692;0,5;-16
31;8;206;181;37;7492;-5,5;-13
31;9;216;215;41;6600;-11;-9,5
31;10;180;173;36;6968;-4,5;-13,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
32;1;214;167;38;21664;-12,5;-6,5
32;2;178;135;34;13248;-14,5;-2,5
32;3;181;159;37;22680;-5,5;-13
32;4;177;157;36;16732;-13,5;-4,5
32;5;204;166;39;20468;-12;-7,5
32;6;210;156;40;23716;-8,5;-11,5
32;7;196;159;36;16636;-13,5;-4,5
32;8;186;175;38;15540;-12,5;-6,5
32;9;168;152;32;14384;-15,5;-0,5
32;10;216;169;36;16128;-13,5;-4,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
33;1;153;151;32;2968;-15,5;-0,5
33;2;186;195;40;9120;-11,5;-8,5
33;3;183;189;40;7160;-11,5;-8,5
33;4;166;160;32;2196;-15,5;-0,5
33;5;167;184;36;5120;-13,5;-4,5
33;6;173;166;37;14088;-13;-5,5
33;7;142;162;32;6324;-15,5;-0,5
33;8;158;167;35;10076;-3,5;-14
33;9;180;189;37;21400;-13;-5,5
33;10;142;149;33;2248;-15;-1,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
34;1;158;170;37;7572;-5,5;-13
34;2;153;175;38;5904;-6,5;-12,5
34;3;151;196;35;6888;-3,5;-14
34;4;134;154;34;10496;-2,5;-14,5
34;5;164;177;37;7060;-5,5;-13
